Year,Month,Province,PM2.5
2020,Sep,กำแพงเพชร,7.333333333333333
2020,Sep,ขอนแก่น,17.0
2020,Sep,นครราชสีมา,15.0
2020,Sep,นครพนม,10.0
2020,Sep,เลย,9.0
2020,Sep,หนองคาย,9.5
2020,Sep,อุบลราชธานี,9.5
2020,Sep,สกลนคร,7.75
2020,Sep,อุดรธานี,9.25
2020,Sep,บุรีรัมย์,7.0
2020,Sep,มุกดาหาร,13.0
2020,Sep,บึงกาฬ,10.0
2020,Sep,กาฬสินธุ์,15.0
2020,Sep,ชัยภูมิ,13.0
2020,Sep,ยโสธร,15.0
2020,Sep,อำนาจเจริญ,13.0
2020,Sep,สุรินทร์,8.0
2020,Sep,ศรีสะเกษ,7.0
2020,Sep,ร้อยเอ็ด,11.182065268065267
2020,Sep,มหาสารคาม,11.182065268065267
2020,Sep,หนองบัวลำภู,11.182065268065267
2020,Sep,ฉะเชิงเทรา,10.0
2020,Sep,ชลบุรี,11.666666666666666
2020,Sep,ตราด,10.25
2020,Sep,ระยอง,8.6
2020,Sep,สระแก้ว,7.0
2020,Sep,ปราจีนบุรี,14.0
2020,Sep,จันทบุรี,8.0
2020,Sep,นครนายก,13.0
2020,Sep,กาญจนบุรี,8.0
2020,Sep,ราชบุรี,8.0
2020,Sep,สุพรรณบุรี,9.5
2020,Sep,ประจวบคีรีขันธ์,9.333333333333334
2020,Sep,เพชรบุรี,11.182065268065267
2020,Sep,นราธิวาส,14.0
2020,Sep,นครศรีธรรมราช,12.0
2020,Sep,ภูเก็ต,13.0
2020,Sep,ยะลา,11.0
2020,Sep,สงขลา,22.0
2020,Sep,สุราษฎร์ธานี,10.0
